regression_model,Train Error,Test Error,R2
Ridge,0.10192521736776995,0.24495342558336636,0.9982760376320257
Lasso,0.43994713481695846,1.8950188401766592,0.9678807440495939
XGBoost,0.011264663637257385,2.345213229680965,0.9999789427843273
